generation, best seeker, average seeker, best avoider, average avoider
171, 3618, 2813.75, 4360.074837645805, 621.6567704602834
172, 3623, 2630.8125, 4560.844914360963, 793.3659697029796
173, 3585, 2690.75, 4793.386970964498, 869.5183832513319
174, 3769, 2785.3125, 6064.311198945411, 795.1196796190762
175, 3836, 2739.75, 4913.559511204494, 655.9919247650529
176, 3481, 2633.0, 4806.9753217908965, 895.4398227908042
177, 3763, 2832.0, 4223.199273611819, 575.6043461652869
178, 3781, 2763.5625, 4098.993351519203, 797.2824693965647
179, 3780, 3029.8125, 4227.324978437722, 659.4217763581244
180, 3549, 2620.9375, 4699.011478646936, 817.0870885658497
181, 3813, 3072.375, 4540.7736522948535, 525.4982790116894
182, 3636, 2613.375, 4775.562535018305, 878.8151185923409
183, 3429, 2579.875, 4206.533871118427, 745.1838484351588
184, 3593, 2754.75, 4260.650000515268, 686.577777533934
185, 3301, 2610.1875, 4618.801676684643, 951.1271683577218
186, 3493, 2750.5, 3870.0240200258454, 622.9337922308408
187, 3669, 2693.375, 4058.4788524246264, 727.7749035617937
188, 3705, 2716.9375, 4958.115282177838, 788.5723837330366
189, 3630, 2527.0625, 4111.624989029118, 981.1418088233522
190, 3655, 2661.75, 4853.333983319244, 707.7242184058197
191, 3756, 2942.375, 4359.635431224862, 690.6528624903434
192, 3622, 2689.8125, 4073.405922570249, 712.2642921463196
193, 3536, 2623.1875, 5108.588571863597, 760.2355237210893
194, 3900, 2902.9375, 4791.38996508164, 666.2945644833535
195, 3766, 2765.1875, 3900.7589909484795, 579.9458062277218
196, 3622, 2888.3125, 4584.241012033415, 599.8483527356029
197, 3611, 2589.5, 4499.525430754946, 877.9465742812059
198, 3485, 2856.125, 4250.733162326813, 666.1975118651774
199, 3816, 2922.875, 4506.345295914856, 631.240418422806
200, 3613, 2416.0625, 4523.50121246213, 937.509966278862
201, 3850, 2901.4375, 4355.5975970257805, 696.8783427161603
202, 3466, 2685.375, 4574.647725329184, 767.6694868648517
203, 3604, 2788.125, 4246.291141897738, 640.5167600787381
204, 3735, 2832.4375, 4088.5909668031095, 659.6331042576796
205, 3572, 2853.8125, 4563.154034163487, 662.9496680952882
206, 3749, 2695.5, 4209.322655116319, 718.1511660073512
207, 3426, 2650.5625, 3900.3179017869384, 848.1507258815269
208, 3837, 2957.3125, 4102.8385079055315, 606.48356502264
209, 3640, 2783.5, 4543.592961178312, 852.7501365034304
210, 3778, 2652.125, 4175.934068286549, 791.4113009870143
211, 3821, 2724.3125, 4343.774416627185, 746.9612619896455
212, 3452, 2642.0625, 4405.352288546064, 880.5046786575597
213, 3755, 2623.25, 4391.434277719618, 944.0884857424243
214, 3624, 2757.0625, 4451.821193707063, 731.0363261896309
215, 3671, 2677.8125, 4125.976050949865, 814.5401227242218
216, 3607, 2951.125, 4132.139408528243, 568.5656127204234
217, 3535, 2747.375, 5384.12193497367, 862.5753645878466
218, 3780, 2889.75, 4799.908421173033, 627.9836049404935
219, 3667, 2883.5, 4522.5268898255845, 659.9387456245736
220, 3652, 2909.375, 3665.0583406974515, 543.9065901849001
221, 3423, 2761.4375, 4334.579758376798, 817.309332593848
222, 3629, 2703.875, 4372.481903307789, 686.3932246836246
223, 3495, 2657.1875, 4548.0681179561325, 868.563268522798
224, 3419, 2683.875, 4373.2979415045165, 808.8531632451189
225, 3294, 2681.625, 4427.843723672606, 669.1684678808466
226, 3790, 2851.6875, 4099.16906764512, 617.4741404222023
227, 3540, 2616.3125, 4578.759411914607, 799.643891893821
228, 3596, 2687.5625, 5633.239399747566, 782.0380718856919
229, 3580, 2934.5625, 4474.058083829053, 551.5853656275362
230, 3299, 2680.5, 4170.668446992206, 730.6805508655748
231, 3387, 2409.3125, 4556.22059029155, 867.9434600198674
232, 3630, 2685.625, 4200.249215406819, 779.2130315365607
233, 3626, 2847.5, 3878.6930479307307, 651.4023516799607
234, 3800, 3037.125, 4066.1576091216475, 601.1119603542692
235, 3450, 2573.625, 4440.342360639361, 966.2796144326952
236, 3783, 2751.0625, 4502.4519416788335, 855.8108104542824
237, 3312, 2561.5625, 4028.2418526810093, 934.5893349561576
238, 3555, 2689.4375, 4602.538057688696, 721.6272961944543
239, 3742, 2818.375, 4274.38774581683, 700.1121471082228
240, 3412, 2620.75, 3944.963662079395, 687.3249393636133
241, 3420, 2782.875, 4195.469598259009, 701.3691729944211
242, 3578, 2465.125, 5071.7434264705835, 866.1660669668619
243, 3494, 2857.1875, 4863.831843972244, 694.1538971899118
244, 3639, 2784.4375, 4375.881530734603, 705.1682063479969
245, 3359, 2733.6875, 4219.2832981634565, 761.7609985187797
246, 3645, 2758.3125, 3866.7123916181818, 666.9611443199151
247, 3603, 2843.9375, 4051.005136532718, 652.7042279573361
248, 3514, 2717.0, 4517.724237851626, 734.4363603262759
249, 3552, 2566.0625, 4173.465591389169, 824.2411595830445
250, 3571, 2759.625, 4337.523991267817, 718.041993186685
251, 3474, 2592.0625, 4123.468119905635, 789.829600336523
252, 3534, 2602.1875, 4325.942964324657, 751.477478216522
253, 3631, 2741.8125, 3977.442661636129, 707.1242692310902
254, 3555, 2560.1875, 4126.853448826489, 755.9843516612962
255, 3386, 2494.375, 4793.842073721844, 1012.1094619247308
