generation, best seeker, average seeker, best avoider, average avoider
348, 3685, 2723.3125, 6851, 1075.546875
349, 3738, 2878.3125, 6647, 886.078125
350, 3682, 2725.125, 6780, 1177.015625
351, 3759, 2907.6875, 6764, 988.8125
352, 3701, 2708.3125, 6683, 1052.0625
353, 3815, 2763.5, 6503, 1192.125
354, 3875, 2885.5, 6862, 923.59375
355, 3779, 2761.375, 6899, 959.09375
356, 3774, 2464.8125, 6687, 1504.390625
357, 3668, 2977.5625, 6870, 791.8125
358, 3637, 2646.875, 6835, 1249.515625
359, 3727, 3080.125, 6853, 603.71875
360, 3740, 2987.0, 6798, 755.46875
361, 3618, 2791.75, 6427, 887.0
362, 3730, 2688.5625, 6713, 1077.1875
363, 3712, 2823.0625, 6728, 741.734375
364, 3772, 2839.875, 6698, 1086.6875
365, 3702, 2816.625, 6716, 1025.78125
366, 3673, 2846.6875, 6835, 931.828125
367, 3660, 2656.4375, 6710, 1078.09375
368, 3732, 2841.125, 6689, 756.46875
369, 3667, 2724.9375, 6504, 934.6875
370, 3803, 3200.125, 6712, 643.484375
371, 3511, 2959.3125, 6613, 693.859375
372, 3551, 2893.3125, 6810, 1013.0
373, 3746, 2898.875, 6546, 869.171875
374, 3687, 2893.3125, 6829, 1007.78125
375, 3645, 2801.8125, 6668, 935.734375
376, 3844, 2884.6875, 6573, 859.34375
377, 3585, 2819.625, 6599, 858.609375
378, 3738, 2846.9375, 6732, 1057.546875
379, 3692, 2995.375, 6817, 816.4375
380, 3487, 2769.5625, 6740, 981.265625
381, 3621, 2943.375, 6854, 834.375
382, 3775, 2898.9375, 6784, 925.921875
383, 3662, 3025.875, 6411, 711.5
384, 3754, 3110.125, 6753, 545.859375
385, 3783, 2621.6875, 6835, 1527.84375
386, 3681, 2959.625, 6657, 703.984375
387, 3653, 2670.5625, 6914, 1142.015625
388, 3626, 2900.875, 6839, 843.796875
389, 3824, 2590.25, 6787, 1410.359375
390, 3888, 2628.25, 6840, 1225.21875
391, 3697, 2816.375, 6764, 1303.5625
392, 3868, 2833.9375, 6884, 987.25
393, 3767, 2967.4375, 6437, 650.171875
394, 3809, 2955.625, 6599, 761.515625
395, 3797, 2806.8125, 6635, 1189.390625
396, 3785, 3070.25, 6513, 584.3125
397, 3711, 2942.625, 6679, 902.796875
398, 3538, 2758.375, 6796, 977.96875
399, 3655, 2763.4375, 6811, 1250.3125
400, 3713, 2790.5, 6758, 928.46875
401, 3837, 2922.3125, 6527, 672.796875
402, 3618, 2662.5625, 6829, 1205.421875
403, 3611, 2873.0, 6820, 1017.875
404, 3832, 2648.5625, 6877, 1288.671875
405, 3662, 2841.25, 6791, 940.453125
406, 3671, 2856.9375, 6847, 970.390625
407, 3721, 2641.625, 6602, 1104.5
408, 3760, 3205.0, 6513, 493.78125
409, 3699, 2856.125, 6795, 968.78125
410, 3742, 2876.125, 6902, 974.453125
411, 3792, 3013.875, 6642, 551.0625
412, 3442, 2626.8125, 6795, 1330.65625
413, 3629, 2810.3125, 6596, 1034.609375
414, 3672, 2698.75, 6706, 1286.703125
415, 3760, 2821.8125, 6719, 826.34375
416, 3726, 2922.4375, 6649, 636.8125
417, 3646, 2670.4375, 6731, 1099.78125
418, 3684, 2889.875, 6854, 1007.703125
419, 3689, 3029.4375, 5974, 476.859375
420, 3815, 2808.9375, 6629, 1205.59375
421, 3649, 2634.75, 6729, 1192.578125
422, 3694, 2896.875, 6674, 818.421875
