generation, best seeker, average seeker, best avoider, average avoider
288, 3768, 2776.875, 6750, 1087.828125
289, 3702, 2802.8125, 6545, 1122.5
290, 3774, 2864.625, 6841, 1006.25
291, 3804, 2973.4375, 6607, 901.65625
292, 3836, 3257.1875, 6191, 402.78125
293, 3588, 2724.125, 6706, 917.515625
294, 3487, 2772.5, 6370, 869.1875
295, 3838, 2830.625, 6864, 1085.0
296, 3644, 2797.0625, 6914, 1026.65625
297, 3783, 2927.5625, 6620, 855.953125
298, 3778, 2732.4375, 6769, 1050.03125
299, 3593, 2782.625, 6914, 1151.484375
300, 3362, 2667.9375, 6869, 1306.28125
301, 3782, 2881.5625, 6321, 644.078125
302, 3503, 2558.5625, 6892, 1280.640625
303, 3601, 2733.5, 6894, 1174.625
304, 3718, 2909.125, 6666, 627.40625
305, 3680, 2582.4375, 6754, 1288.96875
306, 3710, 3036.4375, 6839, 840.5
307, 3799, 2758.8125, 6759, 1212.6875
308, 3699, 2674.5625, 6892, 1165.078125
309, 3476, 2691.75, 6746, 1034.078125
310, 3767, 2927.5, 6882, 681.640625
311, 3761, 2723.0625, 6909, 1215.46875
312, 3674, 2682.9375, 6854, 1313.78125
313, 3723, 2974.5, 6777, 695.5625
314, 3634, 2790.125, 6763, 1041.046875
315, 3752, 2676.25, 6739, 1119.640625
316, 3217, 2629.3125, 6610, 1146.578125
317, 3478, 2692.125, 6865, 1267.859375
318, 3536, 2538.8125, 6788, 1371.078125
319, 3765, 3074.0625, 6592, 591.796875
320, 3579, 2696.9375, 6610, 935.671875
321, 3744, 2722.0, 6845, 1220.296875
322, 3537, 2761.875, 6568, 894.390625
323, 3632, 2753.625, 6803, 1185.96875
324, 3747, 2959.375, 6600, 757.28125
325, 3769, 2641.3125, 6705, 1288.234375
326, 3653, 2875.375, 6866, 753.25
327, 3390, 2717.0, 6825, 983.796875
328, 3737, 2770.5625, 6845, 1035.34375
329, 3800, 2825.8125, 6804, 993.109375
330, 3725, 3073.875, 6817, 806.34375
331, 3735, 2652.8125, 6687, 1226.484375
332, 3575, 2947.3125, 6824, 971.90625
333, 3792, 3070.75, 6695, 462.71875
334, 3599, 2877.75, 6844, 1230.15625
335, 3792, 2899.25, 6864, 1067.09375
336, 3829, 2992.625, 6167, 590.03125
337, 3702, 2778.3125, 6666, 1129.15625
338, 3691, 2886.5625, 6840, 926.609375
339, 3753, 2905.6875, 6909, 825.96875
340, 3656, 2894.0, 6794, 1174.9375
341, 3727, 2796.9375, 6757, 906.5
342, 3591, 2726.4375, 6715, 1177.078125
343, 3742, 2901.1875, 6666, 966.796875
344, 3802, 2814.375, 6820, 1014.953125
345, 3707, 2699.0, 6856, 1093.375
346, 3859, 2900.5625, 6850, 929.640625
347, 3681, 2792.625, 6867, 1178.421875
348, 3664, 2743.875, 6800, 1055.453125
349, 3743, 2971.0, 6826, 948.859375
350, 3706, 2977.5625, 6623, 823.265625
351, 3627, 2566.875, 6892, 1252.859375
352, 3783, 2885.3125, 6746, 933.78125
353, 3777, 2983.1875, 6592, 904.90625
354, 3840, 2884.0625, 6559, 940.921875
355, 3621, 2814.0625, 6769, 1159.046875
356, 3668, 3000.6875, 6867, 820.828125
357, 3730, 2855.5625, 6876, 885.703125
358, 3535, 2864.25, 6758, 1127.703125
359, 3772, 3036.25, 6865, 777.25
360, 3548, 2908.6875, 6771, 926.796875
361, 3712, 3042.4375, 6760, 670.84375
362, 3755, 3001.875, 6841, 588.6875
363, 3849, 2848.3125, 6576, 678.65625
364, 3784, 2946.125, 6690, 1014.390625
365, 3758, 2774.3125, 6654, 970.171875
366, 3700, 3012.1875, 6717, 694.796875
367, 3688, 2843.6875, 6712, 1175.765625
368, 3750, 3032.0, 6715, 567.203125
369, 3885, 2972.4375, 6831, 826.1875
370, 3759, 2873.4375, 6824, 916.453125
371, 3799, 2947.75, 6705, 838.765625
372, 3344, 2544.375, 6836, 1340.6875
373, 3691, 2847.3125, 6904, 725.1875
374, 3744, 2886.375, 6882, 1037.96875
375, 3802, 2816.25, 6755, 773.203125
376, 3856, 2909.875, 6802, 799.984375
377, 3450, 2986.9375, 6514, 723.5
378, 3794, 2878.5625, 6753, 913.71875
379, 3740, 2998.0625, 6547, 744.859375
380, 3269, 2551.375, 6850, 1321.1875
381, 3760, 2780.5625, 6708, 998.1875
382, 3368, 2465.9375, 6808, 1417.28125
383, 3566, 2747.0, 6731, 1203.28125
384, 3805, 2801.6875, 6706, 1133.59375
385, 3648, 2893.4375, 6755, 981.03125
386, 3784, 2771.0625, 6592, 1027.671875
387, 3628, 2831.5625, 6705, 834.21875
388, 3807, 2830.1875, 6841, 835.21875
389, 3600, 2555.125, 6882, 1313.0
390, 3612, 2906.1875, 6764, 847.609375
391, 3734, 2774.375, 6702, 967.15625
392, 3798, 2812.625, 6736, 968.546875
393, 3622, 2511.875, 6668, 1124.34375
394, 3739, 2646.3125, 6693, 1190.125
395, 3721, 2966.5, 6802, 979.890625
396, 3699, 3058.5, 6732, 663.484375
397, 3610, 2807.0, 6607, 1003.390625
398, 3515, 2753.0, 6653, 890.375
399, 3755, 2487.1875, 6864, 1507.125
400, 3776, 2848.625, 6632, 1092.984375
401, 3734, 3076.375, 6846, 563.921875
402, 3674, 2651.8125, 6620, 1130.953125
403, 3661, 2706.1875, 6641, 1169.671875
404, 3723, 2936.875, 6700, 911.0625
405, 3737, 3168.0625, 6127, 427.046875
406, 3431, 2818.25, 6812, 1173.171875
407, 3708, 2768.875, 6731, 664.515625
408, 3825, 2958.0, 6685, 754.421875
409, 3783, 2997.6875, 6744, 654.4375
410, 3788, 2891.875, 6317, 741.46875
411, 3554, 2697.5, 6913, 1202.453125
412, 3702, 2930.0, 6753, 952.953125
413, 3791, 2721.4375, 6723, 976.0625
414, 3673, 2785.125, 6751, 1064.9375
415, 3554, 2814.4375, 6769, 1005.96875
416, 3636, 2529.0625, 6882, 1402.28125
417, 3592, 2849.9375, 6892, 934.703125
418, 3709, 2878.9375, 6629, 1056.109375
419, 3799, 2966.4375, 6629, 771.15625
420, 3380, 2745.875, 6686, 1022.109375
421, 3658, 2700.5625, 6830, 1183.953125
422, 3779, 2868.625, 6630, 888.890625
423, 3724, 2854.5, 6719, 621.609375
424, 3758, 2760.625, 6869, 1404.25
425, 3823, 2796.0625, 6626, 1049.34375
426, 3736, 3006.75, 6671, 635.21875
427, 3847, 2853.6875, 6436, 721.75
428, 3732, 2814.5, 6682, 975.859375
429, 3808, 2707.625, 6657, 824.078125
430, 3731, 2767.375, 6821, 792.53125
431, 3702, 2830.3125, 6745, 1230.46875
